Measurement_ID,Time,Operation_Mode,Measurement_Type,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-27 20:24:42,ASLF,Plasma,0.375,1000,3,5,3159,95,5,1
2,2023-08-27 20:24:43,ASLF,Plasma,0.375,1000,3,5,3133,95,5,1
3,2023-08-27 20:24:44,ASLF,Plasma,0.375,1000,3,5,3091,95,5,1
4,2023-08-27 20:24:45,ASLF,Plasma,0.375,1000,3,5,3122,95,5,1
5,2023-08-27 20:24:46,ASLF,Plasma,0.375,1000,3,5,3137,95,5,1
6,2023-08-27 20:24:47,ASLF,Plasma,0.375,1000,3,5,3130,95,5,1
7,2023-08-27 20:24:47,ASLF,Plasma,0.375,1000,3,5,3164,95,5,1
8,2023-08-27 20:24:48,ASLF,Plasma,0.375,1000,3,5,3161,95,5,1
9,2023-08-27 20:24:49,ASLF,Plasma,0.375,1000,3,5,3098,95,5,1
10,2023-08-27 20:24:50,ASLF,Plasma,0.375,1000,3,5,3175,95,5,1
