Measurement_ID,Time,Operation_Mode,Measurement_Type,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-31 05:47:56,ASLF,Plasma,0.375,2000,20,1,3191,95,5,1
2,2023-08-31 05:47:57,ASLF,Plasma,0.375,2000,20,1,3169,95,5,1
3,2023-08-31 05:47:58,ASLF,Plasma,0.375,2000,20,1,3213,95,5,1
4,2023-08-31 05:47:59,ASLF,Plasma,0.375,2000,20,1,3199,95,5,1
5,2023-08-31 05:47:59,ASLF,Plasma,0.375,2000,20,1,3199,95,5,1
6,2023-08-31 05:48:00,ASLF,Plasma,0.375,2000,20,1,3201,95,5,1
7,2023-08-31 05:48:01,ASLF,Plasma,0.375,2000,20,1,3184,95,5,1
8,2023-08-31 05:48:02,ASLF,Plasma,0.375,2000,20,1,3221,95,5,1
9,2023-08-31 05:48:03,ASLF,Plasma,0.375,2000,20,1,3170,95,5,1
10,2023-08-31 05:48:04,ASLF,Plasma,0.375,2000,20,1,3169,95,5,1
11,2023-08-31 05:48:04,ASLF,Plasma,0.375,2000,20,1,3181,95,5,1
12,2023-08-31 05:48:05,ASLF,Plasma,0.375,2000,20,1,3141,95,5,1
13,2023-08-31 05:48:06,ASLF,Plasma,0.375,2000,20,1,3209,95,5,1
