Measurement_ID,Time,Operation_Mode,Measurement_Type,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-31 01:55:38,ASLF,Plasma,0.375,1000,1,1,3199,95,5,1
2,2023-08-31 01:55:41,ASLF,Plasma,0.375,3000,1,1,3170,95,5,1
3,2023-08-31 01:55:43,ASLF,Plasma,0.375,3000,1,1,3185,95,5,1
4,2023-08-31 01:55:45,ASLF,Plasma,0.375,6000,1,1,3185,95,5,1
5,2023-08-31 01:55:48,ASLF,Plasma,0.375,5000,1,1,3192,95,5,1
6,2023-08-31 01:55:51,ASLF,Plasma,0.375,2000,20,1,3174,95,5,1
7,2023-08-31 01:55:52,ASLF,Plasma,0.375,2000,20,1,3192,95,5,1
8,2023-08-31 01:55:53,ASLF,Plasma,0.375,2000,20,1,3196,95,5,1
9,2023-08-31 01:55:53,ASLF,Plasma,0.375,2000,20,1,3217,95,5,1
10,2023-08-31 01:55:54,ASLF,Plasma,0.375,2000,20,1,3304,95,5,1
