Measurement_ID,Time,Operation_Mode,Measurement_Type,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-30 20:53:30,ASLF,Plasma,0.375,2000,20,1,3223,95,5,1
2,2023-08-30 20:53:30,ASLF,Plasma,0.375,2000,20,1,3185,95,5,1
3,2023-08-30 20:53:30,ASLF,Plasma,0.375,2000,20,1,3185,95,5,1
4,2023-08-30 20:53:30,ASLF,Plasma,0.375,2000,20,1,3179,95,5,1
5,2023-08-30 20:53:31,ASLF,Plasma,0.375,2000,20,1,3187,95,5,1
6,2023-08-30 20:53:31,ASLF,Plasma,0.375,2000,20,1,3167,95,5,1
7,2023-08-30 20:53:31,ASLF,Plasma,0.375,2000,20,1,3187,95,5,1
8,2023-08-30 20:53:31,ASLF,Plasma,0.375,2000,20,1,3159,95,5,1
9,2023-08-30 20:53:31,ASLF,Plasma,0.375,2000,20,1,3195,95,5,1
10,2023-08-30 20:53:32,ASLF,Plasma,0.375,2000,20,1,3137,95,5,1
11,2023-08-30 20:53:32,ASLF,Plasma,0.375,2000,20,1,3205,95,5,1
