Measurement_ID,Time,Operation_Mode,Measurement_Type,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-28 00:11:57,ASLF,Plasma,0.375,1000,3,5,3176,95,5,1
2,2023-08-28 00:11:58,ASLF,Plasma,0.375,1000,3,5,3161,95,5,1
3,2023-08-28 00:11:59,ASLF,Plasma,0.375,1000,3,5,3176,95,5,1
4,2023-08-28 00:12:00,ASLF,Plasma,0.375,1000,3,5,3154,95,5,1
5,2023-08-28 00:12:00,ASLF,Plasma,0.375,1000,3,5,3172,95,5,1
6,2023-08-28 00:12:01,ASLF,Plasma,0.375,1000,3,5,3172,95,5,1
7,2023-08-28 00:12:02,ASLF,Plasma,0.375,1000,3,5,3174,95,5,1
8,2023-08-28 00:12:03,ASLF,Plasma,0.375,1000,3,5,3187,95,5,1
9,2023-08-28 00:12:04,ASLF,Plasma,0.375,1000,3,5,3158,95,5,1
10,2023-08-28 00:12:05,ASLF,Plasma,0.375,1000,3,5,3196,95,5,1
