Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,181.88,202.0,Unknown,,,UNREGISTERED
1,192.52,225.0,Unknown,,,UNREGISTERED
1,208.43,154.0,Unknown,,,UNREGISTERED
1,217.87,182.0,Unknown,,,UNREGISTERED
1,219.76,153.0,Unknown,,,UNREGISTERED
1,223.53,159.0,Unknown,,,UNREGISTERED
1,229.93,177.0,Unknown,,,UNREGISTERED
1,241.58,176.0,Unknown,,,UNREGISTERED
1,256.2,190.0,Unknown,,,UNREGISTERED
1,273.74,194.0,Unknown,,,UNREGISTERED
1,278.58,155.0,Unknown,,,UNREGISTERED
1,283.05,161.0,Unknown,,,UNREGISTERED
1,303.81,168.0,Unknown,,,UNREGISTERED
1,312.3,213.0,Unknown,,,UNREGISTERED
1,325.56,161.0,Unknown,,,UNREGISTERED
1,410.97,171.0,Unknown,,,UNREGISTERED
1,426.02,158.0,Unknown,,,UNREGISTERED
1,443.84,154.0,Unknown,,,UNREGISTERED
1,470.74,162.0,Unknown,,,UNREGISTERED
1,500.9,190.0,Unknown,,,UNREGISTERED
1,525.91,150.0,Unknown,,,UNREGISTERED
1,590.84,196.0,Unknown,,,UNREGISTERED
1,624.36,153.0,Unknown,,,UNREGISTERED
1,633.0,188.0,Unknown,,,UNREGISTERED
1,636.32,156.0,Unknown,,,UNREGISTERED
1,664.63,169.0,Unknown,,,UNREGISTERED
1,667.9,162.0,Unknown,,,UNREGISTERED
1,692.27,151.0,Unknown,,,UNREGISTERED
1,732.9,171.0,Unknown,,,UNREGISTERED
1,766.5,174.0,Unknown,,,UNREGISTERED
1,790.92,173.0,Unknown,,,UNREGISTERED
1,814.71,150.0,Unknown,,,UNREGISTERED
1,826.78,161.0,Unknown,,,UNREGISTERED
1,834.88,160.0,Unknown,,,UNREGISTERED
2,171.22,183.0,Unknown,,,UNREGISTERED
2,171.98,200.0,Unknown,,,UNREGISTERED
