Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,178.46,244.0,Unknown,,,UNREGISTERED
1,179.98,189.0,Unknown,,,UNREGISTERED
1,181.12,199.0,Unknown,,,UNREGISTERED
1,186.06,163.0,Unknown,,,UNREGISTERED
1,187.2,214.0,Unknown,,,UNREGISTERED
1,189.86,177.0,Unknown,,,UNREGISTERED
1,194.04,152.0,Unknown,,,UNREGISTERED
1,196.69,188.0,Unknown,,,UNREGISTERED
1,199.72,160.0,Unknown,,,UNREGISTERED
1,202.37,191.0,Unknown,,,UNREGISTERED
1,207.67,169.0,Unknown,,,UNREGISTERED
1,208.81,239.0,Unknown,,,UNREGISTERED
1,209.56,198.0,Unknown,,,UNREGISTERED
1,215.23,172.0,Unknown,,,UNREGISTERED
1,216.36,202.0,Unknown,,,UNREGISTERED
1,217.87,163.0,Unknown,,,UNREGISTERED
1,220.14,211.0,Unknown,,,UNREGISTERED
1,221.27,179.0,Unknown,,,UNREGISTERED
1,223.91,155.0,Unknown,,,UNREGISTERED
1,229.56,198.0,Unknown,,,UNREGISTERED
1,230.68,172.0,Unknown,,,UNREGISTERED
1,231.44,204.0,Unknown,,,UNREGISTERED
1,237.45,168.0,Unknown,,,UNREGISTERED
1,239.33,168.0,Unknown,,,UNREGISTERED
1,243.46,189.0,Unknown,,,UNREGISTERED
1,244.21,261.0,Unknown,,,UNREGISTERED
1,244.96,165.0,Unknown,,,UNREGISTERED
1,246.08,180.0,Unknown,,,UNREGISTERED
1,247.96,160.0,Unknown,,,UNREGISTERED
1,250.96,256.0,Unknown,,,UNREGISTERED
1,252.08,286.0,Unknown,,,UNREGISTERED
1,252.83,356.0,Unknown,,,UNREGISTERED
1,254.33,212.0,Unknown,,,UNREGISTERED
1,255.45,279.0,Unknown,,,UNREGISTERED
1,256.2,254.0,Unknown,,,UNREGISTERED
1,258.82,246.0,Unknown,,,UNREGISTERED
1,259.94,211.0,Unknown,,,UNREGISTERED
1,261.06,168.0,Unknown,,,UNREGISTERED
1,261.8,173.0,Unknown,,,UNREGISTERED
1,262.55,197.0,Unknown,,,UNREGISTERED
1,263.67,172.0,Unknown,,,UNREGISTERED
1,264.42,200.0,Unknown,,,UNREGISTERED
1,265.54,233.0,Unknown,,,UNREGISTERED
1,266.66,289.0,Unknown,,,UNREGISTERED
1,267.78,194.0,Unknown,,,UNREGISTERED
1,268.9,196.0,Unknown,,,UNREGISTERED
1,270.76,176.0,Unknown,,,UNREGISTERED
1,271.88,257.0,Unknown,,,UNREGISTERED
1,273.37,228.0,Unknown,,,UNREGISTERED
1,274.86,436.0,Unknown,,,UNREGISTERED
1,275.6,377.0,Unknown,,,UNREGISTERED
1,276.35,446.0,Unknown,,,UNREGISTERED
1,278.21,351.0,Unknown,,,UNREGISTERED
1,281.19,1672.0,Unknown,,,UNREGISTERED
1,283.42,472.0,Unknown,,,UNREGISTERED
1,284.9,371.0,Mg I,285.21,0.31,VERIFIED
1,286.02,428.0,Unknown,,,UNREGISTERED
1,286.76,447.0,Unknown,,,UNREGISTERED
1,288.25,288.0,Si I,288.16,0.09,VERIFIED
1,289.73,492.0,Unknown,,,UNREGISTERED
1,290.84,410.0,Unknown,,,UNREGISTERED
1,291.96,270.0,Unknown,,,UNREGISTERED
1,292.7,302.0,Unknown,,,UNREGISTERED
1,293.44,337.0,Unknown,,,UNREGISTERED
1,294.18,396.0,Unknown,,,UNREGISTERED
1,294.92,460.0,Unknown,,,UNREGISTERED
1,296.03,497.0,Unknown,,,UNREGISTERED
1,296.77,377.0,Unknown,,,UNREGISTERED
