Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,517.6,1085.0,Unknown,,,UNREGISTERED
1,518.29,1082.0,Mg I,518.36,0.07,VERIFIED
1,518.98,1080.0,Unknown,,,UNREGISTERED
1,519.68,1171.0,Unknown,,,UNREGISTERED
1,520.37,1150.0,Unknown,,,UNREGISTERED
1,521.06,1220.0,Unknown,,,UNREGISTERED
1,521.76,1184.0,Unknown,,,UNREGISTERED
1,522.45,1077.0,Unknown,,,UNREGISTERED
1,523.14,1128.0,Unknown,,,UNREGISTERED
1,524.53,1025.0,Unknown,,,UNREGISTERED
1,525.22,937.0,Unknown,,,UNREGISTERED
1,525.91,1006.0,Unknown,,,UNREGISTERED
1,526.6,933.0,Unknown,,,UNREGISTERED
1,527.29,936.0,Unknown,,,UNREGISTERED
1,528.67,1046.0,Unknown,,,UNREGISTERED
1,529.71,846.0,Unknown,,,UNREGISTERED
1,532.47,814.0,Unknown,,,UNREGISTERED
1,533.16,737.0,Unknown,,,UNREGISTERED
1,533.85,723.0,Unknown,,,UNREGISTERED
1,535.58,837.0,Unknown,,,UNREGISTERED
1,536.61,746.0,Unknown,,,UNREGISTERED
1,538.33,632.0,Unknown,,,UNREGISTERED
1,539.02,637.0,Unknown,,,UNREGISTERED
1,539.71,624.0,Unknown,,,UNREGISTERED
1,541.09,616.0,Unknown,,,UNREGISTERED
1,542.12,658.0,Unknown,,,UNREGISTERED
1,543.15,580.0,Unknown,,,UNREGISTERED
1,543.84,664.0,Unknown,,,UNREGISTERED
1,545.55,623.0,Unknown,,,UNREGISTERED
1,546.93,685.0,Unknown,,,UNREGISTERED
1,547.96,559.0,Unknown,,,UNREGISTERED
1,548.99,640.0,Unknown,,,UNREGISTERED
1,549.67,639.0,Unknown,,,UNREGISTERED
1,550.7,738.0,Unknown,,,UNREGISTERED
1,551.73,660.0,Unknown,,,UNREGISTERED
1,552.41,610.0,Unknown,,,UNREGISTERED
1,553.1,682.0,Unknown,,,UNREGISTERED
1,554.81,620.0,Unknown,,,UNREGISTERED
1,555.49,618.0,Unknown,,,UNREGISTERED
1,556.18,619.0,Unknown,,,UNREGISTERED
1,557.2,843.0,Unknown,,,UNREGISTERED
1,558.23,933.0,Unknown,,,UNREGISTERED
1,558.91,993.0,Unknown,,,UNREGISTERED
1,560.62,1474.0,Unknown,,,UNREGISTERED
1,562.33,1222.0,Unknown,,,UNREGISTERED
1,563.69,952.0,Unknown,,,UNREGISTERED
1,565.06,857.0,Unknown,,,UNREGISTERED
1,566.08,652.0,Unknown,,,UNREGISTERED
1,567.78,611.0,Unknown,,,UNREGISTERED
1,568.46,848.0,Unknown,,,UNREGISTERED
1,569.82,641.0,Unknown,,,UNREGISTERED
1,570.51,678.0,Unknown,,,UNREGISTERED
1,571.53,820.0,Unknown,,,UNREGISTERED
1,573.57,840.0,Unknown,,,UNREGISTERED
1,574.58,692.0,Unknown,,,UNREGISTERED
1,575.6,613.0,Unknown,,,UNREGISTERED
1,576.62,743.0,Unknown,,,UNREGISTERED
1,577.3,618.0,Unknown,,,UNREGISTERED
1,578.66,661.0,Unknown,,,UNREGISTERED
1,579.34,541.0,Unknown,,,UNREGISTERED
1,580.01,609.0,Unknown,,,UNREGISTERED
1,580.69,497.0,Unknown,,,UNREGISTERED
1,581.37,460.0,Unknown,,,UNREGISTERED
1,582.05,482.0,Unknown,,,UNREGISTERED
1,582.72,415.0,Unknown,,,UNREGISTERED
1,583.4,436.0,Unknown,,,UNREGISTERED
1,584.08,432.0,Unknown,,,UNREGISTERED
1,584.75,481.0,Unknown,,,UNREGISTERED
1,585.43,531.0,Unknown,,,UNREGISTERED
1,586.11,504.0,Unknown,,,UNREGISTERED
1,588.14,719.0,Unknown,,,UNREGISTERED
1,589.82,689.0,Na I,589.59,0.23,VERIFIED
1,591.17,607.0,Unknown,,,UNREGISTERED
1,592.52,528.0,Unknown,,,UNREGISTERED
1,593.87,542.0,Unknown,,,UNREGISTERED
1,594.55,539.0,Unknown,,,UNREGISTERED
1,595.56,506.0,Unknown,,,UNREGISTERED
1,596.23,540.0,Unknown,,,UNREGISTERED
1,596.91,448.0,Unknown,,,UNREGISTERED
1,598.59,460.0,Unknown,,,UNREGISTERED
1,599.6,442.0,Unknown,,,UNREGISTERED
1,600.61,485.0,Unknown,,,UNREGISTERED
1,601.62,393.0,Unknown,,,UNREGISTERED
1,602.29,456.0,Unknown,,,UNREGISTERED
1,603.29,380.0,Unknown,,,UNREGISTERED
1,604.3,420.0,Unknown,,,UNREGISTERED
1,604.97,350.0,Unknown,,,UNREGISTERED
1,605.64,368.0,Unknown,,,UNREGISTERED
1,606.65,296.0,Unknown,,,UNREGISTERED
1,607.32,426.0,Unknown,,,UNREGISTERED
1,607.99,339.0,Unknown,,,UNREGISTERED
1,608.66,455.0,Unknown,,,UNREGISTERED
1,609.33,444.0,Unknown,,,UNREGISTERED
1,610.0,546.0,Unknown,,,UNREGISTERED
1,611.01,606.0,Unknown,,,UNREGISTERED
1,612.01,544.0,Unknown,,,UNREGISTERED
1,613.35,444.0,Unknown,,,UNREGISTERED
1,614.35,520.0,Unknown,,,UNREGISTERED
1,615.69,684.0,Unknown,,,UNREGISTERED
1,616.36,778.0,Unknown,,,UNREGISTERED
1,617.03,543.0,Unknown,,,UNREGISTERED
1,618.36,616.0,Unknown,,,UNREGISTERED
1,619.03,619.0,Unknown,,,UNREGISTERED
1,619.7,653.0,Unknown,,,UNREGISTERED
1,620.36,608.0,Unknown,,,UNREGISTERED
1,621.36,631.0,Unknown,,,UNREGISTERED
