Wavelength,Response count
153.21,454
153.62,365
154.02,386
154.42,399
154.83,370
155.23,388
155.63,394
156.03,460
156.44,401
156.84,456
157.24,312
157.64,398
158.05,440
158.45,416
158.85,402
159.25,406
159.65,398
160.05,343
160.46,371
160.86,425
161.26,381
161.66,428
162.06,440
162.46,425
162.86,440
163.26,440
163.66,414
164.06,389
164.46,567
164.86,647
165.26,720
165.66,666
166.06,656
166.46,588
166.86,620
167.26,735
167.66,696
168.06,703
168.45,653
168.85,684
169.25,686
169.65,587
170.05,660
170.45,651
170.84,609
171.24,621
171.64,657
172.04,653
172.43,661
172.83,638
173.23,640
173.63,657
174.02,687
174.42,733
174.82,667
175.21,667
175.61,611
176.01,761
176.4,617
176.8,652
177.2,613
177.59,722
177.99,692
178.38,668
178.78,684
179.18,599
179.57,646
179.97,695
180.36,639
180.76,659
181.15,625
181.55,620
181.94,615
182.34,616
182.73,599
183.12,709
183.52,604
183.91,672
184.31,666
184.7,607
185.1,643
185.49,652
185.88,717
186.28,640
186.67,692
187.06,600
187.46,657
187.85,589
188.24,651
188.64,630
189.03,646
189.42,726
189.81,639
190.21,619
190.6,653
190.99,641
191.38,579
191.77,667
192.17,656
192.56,639
192.95,622
193.34,616
193.73,655
194.12,594
194.52,633
194.91,651
195.3,570
195.69,683
196.08,656
196.47,772
196.86,660
197.25,612
197.64,656
198.03,693
198.42,584
198.81,651
199.2,640
199.59,667
199.98,715
200.37,617
200.76,671
201.15,685
201.54,640
201.93,567
202.32,706
202.71,657
203.1,578
203.49,560
203.88,602
204.27,640
204.66,607
205.04,676
205.43,713
205.82,616
206.21,619
206.6,589
206.99,692
207.37,592
207.76,588
208.15,612
208.54,601
208.93,694
209.31,615
209.7,500
210.09,637
210.48,657
210.86,592
211.25,622
211.64,652
212.02,590
212.41,625
212.8,696
213.18,603
213.57,577
213.96,607
214.34,545
214.73,671
215.12,607
215.5,616
215.89,609
216.27,648
216.66,590
217.05,605
217.43,615
217.82,548
218.2,621
218.59,680
218.97,652
219.36,637
219.74,656
220.13,714
220.51,546
220.9,632
221.28,576
221.67,550
222.05,660
222.44,651
222.82,589
223.21,651
223.59,639
223.98,578
224.36,590
224.74,713
225.13,666
225.51,599
225.9,631
226.28,620
226.66,631
227.05,596
227.43,622
227.81,629
228.2,552
228.58,641
228.96,639
229.35,682
229.73,673
230.11,627
230.49,652
230.88,566
231.26,578
231.64,645
232.03,511
232.41,651
232.79,633
233.17,638
233.55,592
233.94,642
234.32,672
234.7,693
235.08,704
235.46,628
235.85,650
236.23,622
236.61,640
236.99,714
237.37,676
237.75,562
238.13,652
238.52,648
238.9,619
239.28,646
239.66,699
240.04,620
240.42,679
240.8,657
241.18,622
241.56,660
241.94,647
242.32,694
242.7,668
243.08,636
243.46,659
243.84,737
244.22,632
244.6,573
244.98,565
245.36,663
245.74,617
246.12,630
246.5,634
246.88,577
247.26,714
247.64,552
248.02,568
248.4,533
248.78,639
249.16,674
249.54,673
249.92,628
250.3,696
250.67,545
251.05,621
251.43,662
251.81,647
252.19,626
252.57,619
252.95,636
253.32,623
253.7,613
254.08,565
254.46,626
254.84,664
255.21,596
255.59,615
255.97,643
256.35,667
256.73,594
257.1,650
257.48,625
257.86,647
258.24,571
258.61,600
258.99,585
259.37,654
259.75,711
260.12,602
260.5,642
260.88,672
261.25,713
261.63,629
262.01,625
262.38,655
262.76,611
263.14,593
263.51,612
263.89,680
264.27,686
264.64,612
265.02,599
265.4,591
265.77,715
266.15,615
266.52,584
266.9,610
267.28,621
267.65,629
268.03,584
268.4,573
268.78,681
269.15,688
269.53,667
269.91,614
270.28,540
270.66,674
271.03,558
271.41,623
271.78,747
272.16,737
272.53,617
272.91,668
273.28,632
273.66,717
274.03,643
274.41,644
274.78,667
275.16,614
275.53,675
275.9,651
276.28,589
276.65,573
277.03,590
277.4,668
277.78,672
278.15,638
278.52,564
278.9,636
279.27,659
279.65,688
280.02,599
280.39,617
280.77,654
281.14,592
281.51,607
281.89,665
282.26,649
282.64,701
283.01,631
283.38,712
283.76,578
284.13,671
284.5,606
284.87,712
285.25,591
285.62,665
285.99,648
286.37,610
286.74,680
287.11,619
287.48,772
287.86,659
288.23,583
288.6,532
288.97,605
289.35,671
289.72,735
290.09,692
290.46,604
290.84,691
291.21,616
291.58,600
291.95,689
292.32,639
292.7,594
293.07,638
293.44,704
293.81,630
294.18,695
294.56,683
294.93,736
295.3,668
295.67,693
296.04,659
296.41,714
296.78,692
297.16,690
297.53,742
297.9,674
298.27,697
298.64,734
299.01,741
299.38,702
299.75,719
300.12,688
300.5,662
300.87,791
301.24,696
301.61,766
301.98,604
302.35,734
302.72,765
303.09,709
303.46,785
303.83,720
304.2,700
304.57,792
