Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,396.58,478.0,Ca II,396.85,0.27,VERIFIED
1,400.18,327.0,Unknown,,,UNREGISTERED
2,280.81,332.0,Unknown,,,UNREGISTERED
2,310.83,155.0,Unknown,,,UNREGISTERED
2,319.31,154.0,Unknown,,,UNREGISTERED
2,320.04,207.0,Unknown,,,UNREGISTERED
2,340.61,160.0,Unknown,,,UNREGISTERED
2,362.15,198.0,Unknown,,,UNREGISTERED
2,385.74,181.0,Fe I,385.99,0.25,VERIFIED
2,386.47,259.0,Fe I,385.99,0.48,VERIFIED
2,388.28,186.0,Unknown,,,UNREGISTERED
2,391.17,162.0,Unknown,,,UNREGISTERED
2,394.78,163.0,Al I,394.4,0.38,VERIFIED
2,396.58,560.0,Ca II,396.85,0.27,VERIFIED
2,398.02,264.0,Unknown,,,UNREGISTERED
2,400.18,489.0,Unknown,,,UNREGISTERED
2,401.62,172.0,Unknown,,,UNREGISTERED
2,403.42,170.0,Unknown,,,UNREGISTERED
2,411.69,158.0,Unknown,,,UNREGISTERED
2,415.64,216.0,Unknown,,,UNREGISTERED
2,416.71,162.0,Unknown,,,UNREGISTERED
2,426.38,161.0,Unknown,,,UNREGISTERED
2,432.09,156.0,Unknown,,,UNREGISTERED
2,445.97,189.0,Unknown,,,UNREGISTERED
2,452.71,205.0,Unknown,,,UNREGISTERED
2,468.98,151.0,Unknown,,,UNREGISTERED
2,483.05,187.0,Unknown,,,UNREGISTERED
2,485.16,167.0,Unknown,,,UNREGISTERED
2,487.26,161.0,Unknown,,,UNREGISTERED
2,490.06,161.0,Unknown,,,UNREGISTERED
2,497.41,193.0,Unknown,,,UNREGISTERED
2,527.64,155.0,Unknown,,,UNREGISTERED
2,529.02,150.0,Unknown,,,UNREGISTERED
2,786.0,158.0,Unknown,,,UNREGISTERED
