Measurement_ID,Time,Operation_Mode,Measurement_Type,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-26 15:27:12,ASLF,Plasma,0.375,1000,3,5,3159,95,5,1
2,2023-08-26 15:27:12,ASLF,Plasma,0.375,1000,3,5,3086,95,5,1
3,2023-08-26 15:27:13,ASLF,Plasma,0.375,1000,3,5,3178,95,5,1
4,2023-08-26 15:27:13,ASLF,Plasma,0.375,1000,3,5,3111,95,5,1
5,2023-08-26 15:27:13,ASLF,Plasma,0.375,1000,3,5,3107,95,5,1
6,2023-08-26 15:27:13,ASLF,Plasma,0.375,1000,3,5,3135,95,5,1
7,2023-08-26 15:27:13,ASLF,Plasma,0.375,1000,3,5,3155,95,5,1
8,2023-08-26 15:27:14,ASLF,Plasma,0.375,1000,3,5,3096,95,5,1
9,2023-08-26 15:27:14,ASLF,Plasma,0.375,1000,3,5,3177,95,5,1
10,2023-08-26 15:27:14,ASLF,Plasma,0.375,1000,3,5,3143,95,5,1
11,2023-08-26 15:27:14,ASLF,Plasma,0.375,1000,3,5,3157,95,5,1
12,2023-08-26 15:27:14,ASLF,Plasma,0.375,1000,3,5,3129,95,5,1
