Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,175.03,184.0,Unknown,,,UNREGISTERED
1,176.55,216.0,Unknown,,,UNREGISTERED
1,177.32,229.0,Unknown,,,UNREGISTERED
1,178.84,157.0,Unknown,,,UNREGISTERED
1,182.64,258.0,Unknown,,,UNREGISTERED
1,183.78,325.0,Unknown,,,UNREGISTERED
1,185.68,166.0,Unknown,,,UNREGISTERED
1,187.58,172.0,Unknown,,,UNREGISTERED
1,188.72,213.0,Unknown,,,UNREGISTERED
1,191.38,177.0,Unknown,,,UNREGISTERED
1,192.9,175.0,Unknown,,,UNREGISTERED
1,194.79,239.0,Unknown,,,UNREGISTERED
1,195.93,200.0,Unknown,,,UNREGISTERED
1,196.69,160.0,Unknown,,,UNREGISTERED
1,197.83,179.0,Unknown,,,UNREGISTERED
1,200.48,242.0,Unknown,,,UNREGISTERED
1,201.62,165.0,Unknown,,,UNREGISTERED
1,202.75,185.0,Unknown,,,UNREGISTERED
1,204.27,271.0,Unknown,,,UNREGISTERED
1,205.78,178.0,Unknown,,,UNREGISTERED
1,206.91,183.0,Unknown,,,UNREGISTERED
1,208.43,173.0,Unknown,,,UNREGISTERED
1,209.18,236.0,Unknown,,,UNREGISTERED
1,210.7,261.0,Unknown,,,UNREGISTERED
1,212.96,180.0,Unknown,,,UNREGISTERED
1,214.47,195.0,Unknown,,,UNREGISTERED
1,215.61,241.0,Unknown,,,UNREGISTERED
1,217.12,238.0,Unknown,,,UNREGISTERED
1,218.25,223.0,Unknown,,,UNREGISTERED
1,219.38,250.0,Unknown,,,UNREGISTERED
1,220.14,186.0,Unknown,,,UNREGISTERED
1,222.02,184.0,Unknown,,,UNREGISTERED
1,222.77,182.0,Unknown,,,UNREGISTERED
1,223.91,209.0,Unknown,,,UNREGISTERED
1,225.04,228.0,Unknown,,,UNREGISTERED
1,226.17,201.0,Unknown,,,UNREGISTERED
1,226.92,231.0,Unknown,,,UNREGISTERED
1,228.43,190.0,Unknown,,,UNREGISTERED
1,229.18,216.0,Unknown,,,UNREGISTERED
1,231.06,302.0,Unknown,,,UNREGISTERED
1,232.19,171.0,Unknown,,,UNREGISTERED
1,232.94,198.0,Unknown,,,UNREGISTERED
1,233.69,275.0,Unknown,,,UNREGISTERED
1,234.82,186.0,Unknown,,,UNREGISTERED
1,235.57,231.0,Unknown,,,UNREGISTERED
1,236.7,208.0,Unknown,,,UNREGISTERED
1,237.83,293.0,Unknown,,,UNREGISTERED
1,238.58,204.0,Unknown,,,UNREGISTERED
1,239.71,282.0,Unknown,,,UNREGISTERED
1,240.46,304.0,Unknown,,,UNREGISTERED
1,241.58,225.0,Unknown,,,UNREGISTERED
1,242.33,215.0,Unknown,,,UNREGISTERED
1,243.46,249.0,Unknown,,,UNREGISTERED
1,244.96,168.0,Unknown,,,UNREGISTERED
1,245.71,174.0,Unknown,,,UNREGISTERED
1,246.83,286.0,Unknown,,,UNREGISTERED
1,247.96,260.0,Unknown,,,UNREGISTERED
1,248.71,321.0,Unknown,,,UNREGISTERED
1,250.21,239.0,Unknown,,,UNREGISTERED
1,251.71,268.0,Unknown,,,UNREGISTERED
1,252.83,322.0,Unknown,,,UNREGISTERED
1,253.58,447.0,Unknown,,,UNREGISTERED
1,254.33,378.0,Unknown,,,UNREGISTERED
1,255.45,329.0,Unknown,,,UNREGISTERED
1,256.57,256.0,Unknown,,,UNREGISTERED
1,257.69,341.0,Unknown,,,UNREGISTERED
1,258.82,173.0,Unknown,,,UNREGISTERED
1,259.56,154.0,Unknown,,,UNREGISTERED
1,260.31,267.0,Unknown,,,UNREGISTERED
1,262.55,295.0,Unknown,,,UNREGISTERED
1,263.67,195.0,Unknown,,,UNREGISTERED
1,264.42,273.0,Unknown,,,UNREGISTERED
1,266.29,202.0,Unknown,,,UNREGISTERED
1,267.03,177.0,Unknown,,,UNREGISTERED
1,267.78,203.0,Unknown,,,UNREGISTERED
1,268.52,172.0,Unknown,,,UNREGISTERED
1,270.02,204.0,Unknown,,,UNREGISTERED
1,271.88,260.0,Unknown,,,UNREGISTERED
1,273.0,248.0,Unknown,,,UNREGISTERED
1,274.12,250.0,Unknown,,,UNREGISTERED
1,275.23,227.0,Unknown,,,UNREGISTERED
1,275.98,214.0,Unknown,,,UNREGISTERED
1,277.09,257.0,Unknown,,,UNREGISTERED
1,277.84,242.0,Unknown,,,UNREGISTERED
1,278.58,241.0,Unknown,,,UNREGISTERED
1,279.33,431.0,Mg II,279.55,0.22,VERIFIED
1,282.3,805.0,Unknown,,,UNREGISTERED
1,284.16,293.0,Unknown,,,UNREGISTERED
1,285.27,217.0,Mg I,285.21,0.06,VERIFIED
1,286.02,204.0,Unknown,,,UNREGISTERED
1,286.76,287.0,Unknown,,,UNREGISTERED
1,288.99,368.0,Unknown,,,UNREGISTERED
1,291.21,214.0,Unknown,,,UNREGISTERED
1,291.96,173.0,Unknown,,,UNREGISTERED
1,293.44,185.0,Unknown,,,UNREGISTERED
1,294.55,227.0,Unknown,,,UNREGISTERED
1,295.66,227.0,Unknown,,,UNREGISTERED
1,296.4,179.0,Unknown,,,UNREGISTERED
1,297.52,219.0,Unknown,,,UNREGISTERED
1,298.26,266.0,Unknown,,,UNREGISTERED
1,300.11,161.0,Unknown,,,UNREGISTERED
1,300.85,165.0,Unknown,,,UNREGISTERED
