Measurement_ID,Time,Operation_Mode,Measurement_Type,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-31 05:49:49,ASLF,Plasma,0.375,2000,20,1,3199,95,5,1
2,2023-08-31 05:49:50,ASLF,Plasma,0.375,2000,20,1,3157,95,5,1
3,2023-08-31 05:49:51,ASLF,Plasma,0.375,2000,20,1,3208,95,5,1
4,2023-08-31 05:49:52,ASLF,Plasma,0.375,2000,20,1,3212,95,5,1
5,2023-08-31 05:49:53,ASLF,Plasma,0.375,2000,20,1,3149,95,5,1
6,2023-08-31 05:49:54,ASLF,Plasma,0.375,2000,20,1,3190,95,5,1
7,2023-08-31 05:49:55,ASLF,Plasma,0.375,2000,20,1,3203,95,5,1
8,2023-08-31 05:49:56,ASLF,Plasma,0.375,2000,20,1,3187,95,5,1
9,2023-08-31 05:49:57,ASLF,Plasma,0.375,2000,20,1,3168,95,5,1
10,2023-08-31 05:49:57,ASLF,Plasma,0.375,2000,20,1,3175,95,5,1
11,2023-08-31 05:49:58,ASLF,Plasma,0.375,2000,20,1,3183,95,5,1
12,2023-08-31 05:49:59,ASLF,Plasma,0.375,2000,20,1,3151,95,5,1
13,2023-08-31 05:50:00,ASLF,Plasma,0.375,2000,20,1,3163,95,5,1
