Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,193.66,161.0,Unknown,,,UNREGISTERED
1,194.41,185.0,Unknown,,,UNREGISTERED
1,196.31,194.0,Unknown,,,UNREGISTERED
1,199.34,178.0,Unknown,,,UNREGISTERED
1,200.86,174.0,Unknown,,,UNREGISTERED
1,205.02,227.0,Unknown,,,UNREGISTERED
1,211.07,179.0,Unknown,,,UNREGISTERED
1,212.21,196.0,Unknown,,,UNREGISTERED
1,214.47,176.0,Unknown,,,UNREGISTERED
1,217.49,150.0,Unknown,,,UNREGISTERED
1,218.63,174.0,Unknown,,,UNREGISTERED
1,219.38,303.0,Unknown,,,UNREGISTERED
1,220.14,237.0,Unknown,,,UNREGISTERED
1,221.27,188.0,Unknown,,,UNREGISTERED
1,222.77,237.0,Unknown,,,UNREGISTERED
1,224.28,172.0,Unknown,,,UNREGISTERED
1,225.79,163.0,Unknown,,,UNREGISTERED
1,228.8,224.0,Unknown,,,UNREGISTERED
1,229.56,162.0,Unknown,,,UNREGISTERED
1,230.68,155.0,Unknown,,,UNREGISTERED
1,233.69,205.0,Unknown,,,UNREGISTERED
1,235.2,199.0,Unknown,,,UNREGISTERED
1,236.32,217.0,Unknown,,,UNREGISTERED
1,237.08,261.0,Unknown,,,UNREGISTERED
1,238.95,260.0,Unknown,,,UNREGISTERED
1,240.46,244.0,Unknown,,,UNREGISTERED
1,241.58,222.0,Unknown,,,UNREGISTERED
1,243.08,299.0,Unknown,,,UNREGISTERED
1,244.58,202.0,Unknown,,,UNREGISTERED
1,245.71,333.0,Unknown,,,UNREGISTERED
1,246.46,294.0,Unknown,,,UNREGISTERED
1,248.71,281.0,Unknown,,,UNREGISTERED
1,250.21,339.0,Unknown,,,UNREGISTERED
1,250.96,554.0,Unknown,,,UNREGISTERED
1,251.71,635.0,Unknown,,,UNREGISTERED
1,252.83,521.0,Unknown,,,UNREGISTERED
1,253.95,382.0,Unknown,,,UNREGISTERED
1,255.07,365.0,Unknown,,,UNREGISTERED
1,255.82,325.0,Unknown,,,UNREGISTERED
1,256.95,301.0,Unknown,,,UNREGISTERED
1,259.56,286.0,Unknown,,,UNREGISTERED
1,260.68,292.0,Unknown,,,UNREGISTERED
1,261.43,266.0,Unknown,,,UNREGISTERED
1,262.93,306.0,Unknown,,,UNREGISTERED
1,263.67,184.0,Unknown,,,UNREGISTERED
1,265.54,239.0,Unknown,,,UNREGISTERED
1,267.4,207.0,Unknown,,,UNREGISTERED
1,268.15,276.0,Unknown,,,UNREGISTERED
1,269.64,203.0,Unknown,,,UNREGISTERED
1,270.76,254.0,Unknown,,,UNREGISTERED
1,271.51,213.0,Unknown,,,UNREGISTERED
1,272.25,289.0,Unknown,,,UNREGISTERED
1,273.74,274.0,Unknown,,,UNREGISTERED
1,274.86,313.0,Unknown,,,UNREGISTERED
1,275.98,357.0,Unknown,,,UNREGISTERED
1,277.09,284.0,Unknown,,,UNREGISTERED
1,278.95,381.0,Unknown,,,UNREGISTERED
1,281.19,1428.0,Unknown,,,UNREGISTERED
1,283.42,466.0,Unknown,,,UNREGISTERED
1,285.27,344.0,Mg I,285.21,0.06,VERIFIED
1,286.02,439.0,Unknown,,,UNREGISTERED
1,287.13,385.0,Unknown,,,UNREGISTERED
1,287.87,279.0,Si I,288.16,0.29,VERIFIED
1,289.73,383.0,Unknown,,,UNREGISTERED
1,290.84,333.0,Unknown,,,UNREGISTERED
1,291.96,313.0,Unknown,,,UNREGISTERED
1,292.7,266.0,Unknown,,,UNREGISTERED
1,293.81,290.0,Unknown,,,UNREGISTERED
1,294.92,318.0,Unknown,,,UNREGISTERED
1,296.4,285.0,Unknown,,,UNREGISTERED
1,297.52,251.0,Unknown,,,UNREGISTERED
1,298.63,273.0,Unknown,,,UNREGISTERED
1,299.74,307.0,Unknown,,,UNREGISTERED
1,301.22,388.0,Unknown,,,UNREGISTERED
1,303.07,275.0,Unknown,,,UNREGISTERED
1,303.81,252.0,Unknown,,,UNREGISTERED
1,305.29,271.0,Unknown,,,UNREGISTERED
1,306.39,197.0,Unknown,,,UNREGISTERED
1,307.87,202.0,Al I,308.22,0.35,VERIFIED
1,309.35,278.0,Al I,309.27,0.08,VERIFIED
1,310.46,246.0,Unknown,,,UNREGISTERED
1,311.56,160.0,Unknown,,,UNREGISTERED
1,312.3,196.0,Unknown,,,UNREGISTERED
1,313.78,193.0,Unknown,,,UNREGISTERED
1,315.99,230.0,Unknown,,,UNREGISTERED
1,317.83,264.0,Unknown,,,UNREGISTERED
1,319.31,260.0,Unknown,,,UNREGISTERED
1,322.62,181.0,Unknown,,,UNREGISTERED
1,326.67,150.0,Unknown,,,UNREGISTERED
1,334.01,157.0,Unknown,,,UNREGISTERED
1,337.31,212.0,Unknown,,,UNREGISTERED
1,342.81,203.0,Unknown,,,UNREGISTERED
1,343.9,165.0,Unknown,,,UNREGISTERED
1,345.0,165.0,Unknown,,,UNREGISTERED
1,346.1,158.0,Unknown,,,UNREGISTERED
1,361.06,183.0,Unknown,,,UNREGISTERED
1,362.15,161.0,Unknown,,,UNREGISTERED
1,364.34,186.0,Unknown,,,UNREGISTERED
1,365.43,219.0,Unknown,,,UNREGISTERED
1,367.61,181.0,Unknown,,,UNREGISTERED
1,368.7,172.0,Unknown,,,UNREGISTERED
1,373.06,187.0,Fe I,373.49,0.43,VERIFIED
1,374.15,171.0,Unknown,,,UNREGISTERED
1,374.88,281.0,Unknown,,,UNREGISTERED
1,377.05,205.0,Unknown,,,UNREGISTERED
1,379.23,219.0,Unknown,,,UNREGISTERED
1,379.95,150.0,Unknown,,,UNREGISTERED
1,381.04,212.0,Unknown,,,UNREGISTERED
1,390.8,178.0,Si I,390.55,0.25,VERIFIED
1,391.89,220.0,Unknown,,,UNREGISTERED
1,393.33,155.0,Ca II,393.37,0.04,VERIFIED
1,396.22,197.0,Al I,396.15,0.07,VERIFIED
1,396.94,162.0,Ca II,396.85,0.09,VERIFIED
1,398.02,198.0,Unknown,,,UNREGISTERED
1,399.1,157.0,Unknown,,,UNREGISTERED
1,400.9,168.0,Unknown,,,UNREGISTERED
1,403.06,154.0,Unknown,,,UNREGISTERED
1,407.02,198.0,Unknown,,,UNREGISTERED
1,409.53,179.0,Unknown,,,UNREGISTERED
1,410.25,191.0,Unknown,,,UNREGISTERED
1,411.33,230.0,Unknown,,,UNREGISTERED
1,412.05,153.0,Unknown,,,UNREGISTERED
1,413.48,154.0,Unknown,,,UNREGISTERED
1,415.28,182.0,Unknown,,,UNREGISTERED
1,418.86,274.0,Unknown,,,UNREGISTERED
1,419.94,191.0,Unknown,,,UNREGISTERED
1,421.37,214.0,Unknown,,,UNREGISTERED
1,422.44,203.0,Ca I,422.67,0.23,VERIFIED
1,423.87,241.0,Unknown,,,UNREGISTERED
1,427.8,245.0,Unknown,,,UNREGISTERED
1,429.59,161.0,Unknown,,,UNREGISTERED
1,430.66,174.0,Unknown,,,UNREGISTERED
1,431.37,164.0,Unknown,,,UNREGISTERED
1,432.8,157.0,Unknown,,,UNREGISTERED
1,433.52,229.0,Unknown,,,UNREGISTERED
1,435.3,208.0,Unknown,,,UNREGISTERED
1,436.72,215.0,Unknown,,,UNREGISTERED
1,438.5,195.0,Fe I,438.36,0.14,VERIFIED
1,439.22,218.0,Unknown,,,UNREGISTERED
1,441.0,180.0,Unknown,,,UNREGISTERED
1,443.84,179.0,Unknown,,,UNREGISTERED
1,445.26,156.0,Unknown,,,UNREGISTERED
1,446.68,164.0,Unknown,,,UNREGISTERED
1,448.46,237.0,Unknown,,,UNREGISTERED
1,452.01,151.0,Unknown,,,UNREGISTERED
1,453.07,223.0,Unknown,,,UNREGISTERED
1,456.26,158.0,Unknown,,,UNREGISTERED
1,457.32,179.0,Unknown,,,UNREGISTERED
1,459.44,216.0,Unknown,,,UNREGISTERED
1,460.15,158.0,Unknown,,,UNREGISTERED
1,460.86,212.0,Unknown,,,UNREGISTERED
1,462.27,166.0,Unknown,,,UNREGISTERED
1,465.45,151.0,Unknown,,,UNREGISTERED
1,466.86,181.0,Unknown,,,UNREGISTERED
1,470.39,183.0,Unknown,,,UNREGISTERED
1,473.56,196.0,Unknown,,,UNREGISTERED
1,474.26,177.0,Unknown,,,UNREGISTERED
1,474.97,182.0,Unknown,,,UNREGISTERED
1,477.43,238.0,Unknown,,,UNREGISTERED
1,478.84,176.0,Unknown,,,UNREGISTERED
1,480.59,332.0,Unknown,,,UNREGISTERED
1,481.3,186.0,Unknown,,,UNREGISTERED
1,482.35,188.0,Unknown,,,UNREGISTERED
1,483.05,174.0,Unknown,,,UNREGISTERED
1,484.81,204.0,Unknown,,,UNREGISTERED
1,488.31,178.0,Unknown,,,UNREGISTERED
1,489.71,200.0,Unknown,,,UNREGISTERED
1,490.41,170.0,Unknown,,,UNREGISTERED
1,491.81,153.0,Unknown,,,UNREGISTERED
1,493.91,166.0,Unknown,,,UNREGISTERED
1,497.41,181.0,Unknown,,,UNREGISTERED
1,498.8,209.0,Unknown,,,UNREGISTERED
1,499.5,156.0,Unknown,,,UNREGISTERED
1,500.9,219.0,Unknown,,,UNREGISTERED
1,502.64,184.0,Unknown,,,UNREGISTERED
1,505.43,261.0,Unknown,,,UNREGISTERED
1,507.52,203.0,Unknown,,,UNREGISTERED
1,508.56,158.0,Unknown,,,UNREGISTERED
1,509.26,157.0,Unknown,,,UNREGISTERED
1,511.69,250.0,Unknown,,,UNREGISTERED
1,512.74,216.0,Unknown,,,UNREGISTERED
1,522.1,179.0,Unknown,,,UNREGISTERED
1,523.14,158.0,Unknown,,,UNREGISTERED
1,524.53,198.0,Unknown,,,UNREGISTERED
1,526.26,191.0,Unknown,,,UNREGISTERED
1,529.71,150.0,Unknown,,,UNREGISTERED
1,531.78,180.0,Unknown,,,UNREGISTERED
1,534.2,242.0,Unknown,,,UNREGISTERED
1,536.27,174.0,Unknown,,,UNREGISTERED
1,536.95,178.0,Unknown,,,UNREGISTERED
1,537.99,155.0,Unknown,,,UNREGISTERED
