Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,176.17,223.0,Unknown,,,UNREGISTERED
1,178.08,160.0,Unknown,,,UNREGISTERED
1,180.36,150.0,Unknown,,,UNREGISTERED
1,181.88,165.0,Unknown,,,UNREGISTERED
1,184.92,163.0,Unknown,,,UNREGISTERED
1,188.72,245.0,Unknown,,,UNREGISTERED
1,192.9,198.0,Unknown,,,UNREGISTERED
1,206.16,157.0,Unknown,,,UNREGISTERED
1,207.29,166.0,Unknown,,,UNREGISTERED
1,208.05,178.0,Unknown,,,UNREGISTERED
1,209.18,190.0,Unknown,,,UNREGISTERED
1,215.23,176.0,Unknown,,,UNREGISTERED
1,226.17,177.0,Unknown,,,UNREGISTERED
1,231.81,153.0,Unknown,,,UNREGISTERED
1,233.32,189.0,Unknown,,,UNREGISTERED
1,235.2,209.0,Unknown,,,UNREGISTERED
1,237.08,209.0,Unknown,,,UNREGISTERED
1,237.83,196.0,Unknown,,,UNREGISTERED
1,239.33,157.0,Unknown,,,UNREGISTERED
1,240.08,229.0,Unknown,,,UNREGISTERED
1,241.96,181.0,Unknown,,,UNREGISTERED
1,242.71,203.0,Unknown,,,UNREGISTERED
1,243.46,164.0,Unknown,,,UNREGISTERED
1,244.96,153.0,Unknown,,,UNREGISTERED
1,246.83,291.0,Unknown,,,UNREGISTERED
1,249.08,175.0,Unknown,,,UNREGISTERED
1,250.21,213.0,Unknown,,,UNREGISTERED
1,251.33,169.0,Unknown,,,UNREGISTERED
1,252.45,242.0,Unknown,,,UNREGISTERED
1,253.58,226.0,Unknown,,,UNREGISTERED
1,254.33,314.0,Unknown,,,UNREGISTERED
1,255.07,272.0,Unknown,,,UNREGISTERED
1,255.82,245.0,Unknown,,,UNREGISTERED
1,256.95,235.0,Unknown,,,UNREGISTERED
1,257.69,169.0,Unknown,,,UNREGISTERED
1,259.19,211.0,Unknown,,,UNREGISTERED
1,260.31,285.0,Unknown,,,UNREGISTERED
1,261.06,185.0,Unknown,,,UNREGISTERED
1,262.93,194.0,Unknown,,,UNREGISTERED
1,263.67,197.0,Unknown,,,UNREGISTERED
1,264.42,198.0,Unknown,,,UNREGISTERED
1,267.03,154.0,Unknown,,,UNREGISTERED
1,268.9,172.0,Unknown,,,UNREGISTERED
1,271.51,161.0,Unknown,,,UNREGISTERED
1,277.09,271.0,Unknown,,,UNREGISTERED
1,278.21,197.0,Unknown,,,UNREGISTERED
1,278.95,169.0,Unknown,,,UNREGISTERED
1,282.3,817.0,Unknown,,,UNREGISTERED
1,284.53,175.0,Unknown,,,UNREGISTERED
1,285.27,190.0,Mg I,285.21,0.06,VERIFIED
1,286.39,234.0,Unknown,,,UNREGISTERED
1,287.5,301.0,Unknown,,,UNREGISTERED
1,288.99,215.0,Unknown,,,UNREGISTERED
1,289.73,250.0,Unknown,,,UNREGISTERED
1,290.47,210.0,Unknown,,,UNREGISTERED
1,291.21,273.0,Unknown,,,UNREGISTERED
1,292.7,209.0,Unknown,,,UNREGISTERED
1,293.81,260.0,Unknown,,,UNREGISTERED
1,295.29,197.0,Unknown,,,UNREGISTERED
1,296.03,329.0,Unknown,,,UNREGISTERED
1,297.52,226.0,Unknown,,,UNREGISTERED
1,298.26,214.0,Unknown,,,UNREGISTERED
1,300.48,225.0,Unknown,,,UNREGISTERED
1,301.22,204.0,Unknown,,,UNREGISTERED
1,301.96,272.0,Unknown,,,UNREGISTERED
1,303.07,236.0,Unknown,,,UNREGISTERED
1,303.81,223.0,Unknown,,,UNREGISTERED
1,304.92,280.0,Unknown,,,UNREGISTERED
1,305.65,205.0,Unknown,,,UNREGISTERED
1,307.13,196.0,Unknown,,,UNREGISTERED
1,307.87,209.0,Al I,308.22,0.35,VERIFIED
1,308.61,262.0,Al I,308.22,0.39,VERIFIED
1,309.35,400.0,Al I,309.27,0.08,VERIFIED
1,310.83,504.0,Unknown,,,UNREGISTERED
1,311.93,260.0,Unknown,,,UNREGISTERED
1,313.78,246.0,Unknown,,,UNREGISTERED
1,314.52,225.0,Unknown,,,UNREGISTERED
1,315.25,276.0,Unknown,,,UNREGISTERED
1,317.1,367.0,Unknown,,,UNREGISTERED
1,318.2,280.0,Unknown,,,UNREGISTERED
1,318.94,426.0,Unknown,,,UNREGISTERED
1,320.78,248.0,Unknown,,,UNREGISTERED
1,321.52,244.0,Unknown,,,UNREGISTERED
1,322.62,218.0,Unknown,,,UNREGISTERED
1,324.09,280.0,Unknown,,,UNREGISTERED
1,325.93,177.0,Unknown,,,UNREGISTERED
