Measurement_ID,Time_UTC,Measurement_Count,Wavelength_nm,Cleaned_Intensity,Operation_Mode,Measurement_Type,Force_Reset_Status,Laser_Fire_Status,Is_Valid_Plasma,Is_Background,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-31 05:47:45,2,189.48,41.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,189.86,78.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,190.24,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,190.62,37.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,191.0,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,191.38,44.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,191.76,46.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,192.14,105.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,192.52,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,192.9,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,193.28,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,193.66,8.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,194.04,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,194.41,63.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,194.79,0.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
1,2023-08-31 05:47:45,2,195.17,43.0,ASLF,Plasma,0,1,True,False,0.375,3000,1,1,3195,95,5,1
