Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,176.55,186.0,Unknown,,,UNREGISTERED
1,180.36,222.0,Unknown,,,UNREGISTERED
1,181.88,201.0,Unknown,,,UNREGISTERED
1,182.64,158.0,Unknown,,,UNREGISTERED
1,185.68,259.0,Unknown,,,UNREGISTERED
1,187.2,229.0,Unknown,,,UNREGISTERED
1,189.48,153.0,Unknown,,,UNREGISTERED
1,190.24,193.0,Unknown,,,UNREGISTERED
1,191.76,238.0,Unknown,,,UNREGISTERED
1,193.66,172.0,Unknown,,,UNREGISTERED
1,194.41,201.0,Unknown,,,UNREGISTERED
1,197.07,283.0,Unknown,,,UNREGISTERED
1,198.21,213.0,Unknown,,,UNREGISTERED
1,199.72,237.0,Unknown,,,UNREGISTERED
1,200.86,221.0,Unknown,,,UNREGISTERED
1,201.62,170.0,Unknown,,,UNREGISTERED
1,202.37,175.0,Unknown,,,UNREGISTERED
1,203.89,232.0,Unknown,,,UNREGISTERED
1,205.02,230.0,Unknown,,,UNREGISTERED
1,206.16,150.0,Unknown,,,UNREGISTERED
1,208.43,199.0,Unknown,,,UNREGISTERED
1,209.94,228.0,Unknown,,,UNREGISTERED
1,212.59,244.0,Unknown,,,UNREGISTERED
1,213.72,260.0,Unknown,,,UNREGISTERED
1,214.47,220.0,Unknown,,,UNREGISTERED
1,216.74,242.0,Unknown,,,UNREGISTERED
1,217.49,196.0,Unknown,,,UNREGISTERED
1,219.0,175.0,Unknown,,,UNREGISTERED
1,219.76,204.0,Unknown,,,UNREGISTERED
1,221.64,208.0,Unknown,,,UNREGISTERED
1,222.4,168.0,Unknown,,,UNREGISTERED
1,223.53,217.0,Unknown,,,UNREGISTERED
1,224.28,276.0,Unknown,,,UNREGISTERED
1,225.04,175.0,Unknown,,,UNREGISTERED
1,225.79,152.0,Unknown,,,UNREGISTERED
1,226.54,188.0,Unknown,,,UNREGISTERED
1,228.05,254.0,Unknown,,,UNREGISTERED
1,229.56,189.0,Unknown,,,UNREGISTERED
1,231.44,197.0,Unknown,,,UNREGISTERED
1,232.57,170.0,Unknown,,,UNREGISTERED
1,235.2,232.0,Unknown,,,UNREGISTERED
1,236.32,249.0,Unknown,,,UNREGISTERED
1,237.45,314.0,Unknown,,,UNREGISTERED
1,238.2,266.0,Unknown,,,UNREGISTERED
1,238.95,236.0,Unknown,,,UNREGISTERED
1,241.21,188.0,Unknown,,,UNREGISTERED
1,242.71,295.0,Unknown,,,UNREGISTERED
1,243.83,204.0,Unknown,,,UNREGISTERED
1,244.96,239.0,Unknown,,,UNREGISTERED
1,247.21,247.0,Unknown,,,UNREGISTERED
1,247.96,170.0,Unknown,,,UNREGISTERED
1,248.71,251.0,Unknown,,,UNREGISTERED
1,249.83,250.0,Unknown,,,UNREGISTERED
1,253.2,415.0,Unknown,,,UNREGISTERED
1,254.33,486.0,Unknown,,,UNREGISTERED
1,255.07,289.0,Unknown,,,UNREGISTERED
1,256.2,269.0,Unknown,,,UNREGISTERED
1,257.32,263.0,Unknown,,,UNREGISTERED
1,258.44,254.0,Unknown,,,UNREGISTERED
1,259.19,234.0,Unknown,,,UNREGISTERED
1,259.94,256.0,Unknown,,,UNREGISTERED
1,261.06,214.0,Unknown,,,UNREGISTERED
1,262.55,283.0,Unknown,,,UNREGISTERED
1,263.3,254.0,Unknown,,,UNREGISTERED
1,264.05,276.0,Unknown,,,UNREGISTERED
1,265.17,242.0,Unknown,,,UNREGISTERED
1,267.78,214.0,Unknown,,,UNREGISTERED
1,269.27,280.0,Unknown,,,UNREGISTERED
1,271.13,250.0,Unknown,,,UNREGISTERED
1,272.63,204.0,Unknown,,,UNREGISTERED
1,273.37,152.0,Unknown,,,UNREGISTERED
1,274.49,187.0,Unknown,,,UNREGISTERED
1,275.98,318.0,Unknown,,,UNREGISTERED
1,277.84,289.0,Unknown,,,UNREGISTERED
1,278.58,220.0,Unknown,,,UNREGISTERED
1,281.93,981.0,Unknown,,,UNREGISTERED
1,283.05,636.0,Unknown,,,UNREGISTERED
1,283.79,326.0,Unknown,,,UNREGISTERED
1,286.76,334.0,Unknown,,,UNREGISTERED
1,288.25,298.0,Si I,288.16,0.09,VERIFIED
1,288.99,396.0,Unknown,,,UNREGISTERED
1,289.73,401.0,Unknown,,,UNREGISTERED
1,292.7,208.0,Unknown,,,UNREGISTERED
1,293.81,190.0,Unknown,,,UNREGISTERED
1,295.66,266.0,Unknown,,,UNREGISTERED
1,296.77,232.0,Unknown,,,UNREGISTERED
1,297.52,307.0,Unknown,,,UNREGISTERED
1,299.37,250.0,Unknown,,,UNREGISTERED
1,300.11,290.0,Unknown,,,UNREGISTERED
1,302.33,250.0,Unknown,,,UNREGISTERED
1,304.55,253.0,Unknown,,,UNREGISTERED
1,305.65,224.0,Unknown,,,UNREGISTERED
1,306.76,319.0,Unknown,,,UNREGISTERED
1,307.5,325.0,Unknown,,,UNREGISTERED
1,308.24,329.0,Al I,308.22,0.02,VERIFIED
1,309.35,593.0,Al I,309.27,0.08,VERIFIED
1,310.46,582.0,Unknown,,,UNREGISTERED
1,313.04,248.0,Unknown,,,UNREGISTERED
1,313.78,243.0,Unknown,,,UNREGISTERED
1,314.88,325.0,Unknown,,,UNREGISTERED
1,315.62,242.0,Unknown,,,UNREGISTERED
1,317.1,397.0,Unknown,,,UNREGISTERED
1,318.57,406.0,Unknown,,,UNREGISTERED
1,320.04,307.0,Unknown,,,UNREGISTERED
1,320.78,231.0,Unknown,,,UNREGISTERED
1,321.52,217.0,Unknown,,,UNREGISTERED
1,322.25,239.0,Unknown,,,UNREGISTERED
1,323.72,223.0,Unknown,,,UNREGISTERED
1,324.83,204.0,Unknown,,,UNREGISTERED
1,325.56,177.0,Unknown,,,UNREGISTERED
1,327.77,207.0,Unknown,,,UNREGISTERED
1,328.5,254.0,Unknown,,,UNREGISTERED
1,329.97,232.0,Unknown,,,UNREGISTERED
1,331.44,191.0,Unknown,,,UNREGISTERED
1,332.54,344.0,Unknown,,,UNREGISTERED
1,334.01,201.0,Unknown,,,UNREGISTERED
1,334.74,291.0,Ti II,334.94,0.2,VERIFIED
1,335.84,349.0,Unknown,,,UNREGISTERED
1,336.94,218.0,Unknown,,,UNREGISTERED
1,338.04,322.0,Unknown,,,UNREGISTERED
1,339.14,243.0,Unknown,,,UNREGISTERED
1,339.88,253.0,Unknown,,,UNREGISTERED
1,341.71,150.0,Unknown,,,UNREGISTERED
1,342.81,229.0,Unknown,,,UNREGISTERED
1,343.9,307.0,Unknown,,,UNREGISTERED
1,345.73,203.0,Unknown,,,UNREGISTERED
1,346.83,186.0,Unknown,,,UNREGISTERED
1,347.93,251.0,Unknown,,,UNREGISTERED
1,349.75,239.0,Unknown,,,UNREGISTERED
1,350.48,277.0,Unknown,,,UNREGISTERED
1,351.58,314.0,Unknown,,,UNREGISTERED
1,352.31,197.0,Unknown,,,UNREGISTERED
1,353.41,267.0,Unknown,,,UNREGISTERED
1,354.14,187.0,Unknown,,,UNREGISTERED
1,354.87,160.0,Unknown,,,UNREGISTERED
1,355.59,204.0,Unknown,,,UNREGISTERED
1,356.69,265.0,Unknown,,,UNREGISTERED
1,358.15,205.0,Unknown,,,UNREGISTERED
1,358.88,165.0,Unknown,,,UNREGISTERED
1,359.97,211.0,Unknown,,,UNREGISTERED
1,362.15,252.0,Unknown,,,UNREGISTERED
1,363.97,255.0,Unknown,,,UNREGISTERED
1,366.16,283.0,Unknown,,,UNREGISTERED
