Measurement_ID,Detected_Wavelength_nm,Peak_Intensity_counts,NIST_Element,NIST_Wavelength_nm,Wavelength_Offset_nm,Verification_Status
1,164.74,349.0,Unknown,,,UNREGISTERED
1,165.5,412.0,Unknown,,,UNREGISTERED
1,166.64,341.0,Unknown,,,UNREGISTERED
1,167.79,354.0,Unknown,,,UNREGISTERED
1,168.55,364.0,Unknown,,,UNREGISTERED
1,169.7,354.0,Unknown,,,UNREGISTERED
1,171.22,350.0,Unknown,,,UNREGISTERED
1,172.36,369.0,Unknown,,,UNREGISTERED
1,173.13,310.0,Unknown,,,UNREGISTERED
1,173.89,352.0,Unknown,,,UNREGISTERED
1,176.17,348.0,Unknown,,,UNREGISTERED
1,176.93,360.0,Unknown,,,UNREGISTERED
1,177.7,328.0,Unknown,,,UNREGISTERED
1,179.22,347.0,Unknown,,,UNREGISTERED
1,179.98,373.0,Unknown,,,UNREGISTERED
1,180.74,358.0,Unknown,,,UNREGISTERED
1,182.26,386.0,Unknown,,,UNREGISTERED
1,183.4,394.0,Unknown,,,UNREGISTERED
1,184.16,419.0,Unknown,,,UNREGISTERED
1,185.3,344.0,Unknown,,,UNREGISTERED
1,186.82,319.0,Unknown,,,UNREGISTERED
1,187.58,355.0,Unknown,,,UNREGISTERED
1,189.1,393.0,Unknown,,,UNREGISTERED
1,189.86,302.0,Unknown,,,UNREGISTERED
1,190.62,326.0,Unknown,,,UNREGISTERED
1,191.76,321.0,Unknown,,,UNREGISTERED
1,192.52,387.0,Unknown,,,UNREGISTERED
1,194.04,319.0,Unknown,,,UNREGISTERED
1,195.17,323.0,Unknown,,,UNREGISTERED
1,197.07,352.0,Unknown,,,UNREGISTERED
1,197.83,388.0,Unknown,,,UNREGISTERED
1,198.96,387.0,Unknown,,,UNREGISTERED
1,200.1,392.0,Unknown,,,UNREGISTERED
1,200.86,386.0,Unknown,,,UNREGISTERED
1,201.62,392.0,Unknown,,,UNREGISTERED
1,202.37,339.0,Unknown,,,UNREGISTERED
1,203.13,342.0,Unknown,,,UNREGISTERED
1,203.89,349.0,Unknown,,,UNREGISTERED
1,206.16,361.0,Unknown,,,UNREGISTERED
1,207.29,371.0,Unknown,,,UNREGISTERED
1,208.05,363.0,Unknown,,,UNREGISTERED
1,209.56,398.0,Unknown,,,UNREGISTERED
1,210.7,338.0,Unknown,,,UNREGISTERED
1,211.45,357.0,Unknown,,,UNREGISTERED
1,212.59,363.0,Unknown,,,UNREGISTERED
1,213.34,354.0,Unknown,,,UNREGISTERED
1,214.47,432.0,Unknown,,,UNREGISTERED
1,215.98,392.0,Unknown,,,UNREGISTERED
1,217.49,384.0,Unknown,,,UNREGISTERED
1,218.25,400.0,Unknown,,,UNREGISTERED
1,219.38,382.0,Unknown,,,UNREGISTERED
1,220.89,421.0,Unknown,,,UNREGISTERED
1,222.02,385.0,Unknown,,,UNREGISTERED
1,223.91,373.0,Unknown,,,UNREGISTERED
1,224.66,372.0,Unknown,,,UNREGISTERED
1,226.17,358.0,Unknown,,,UNREGISTERED
1,227.67,392.0,Unknown,,,UNREGISTERED
1,228.43,358.0,Unknown,,,UNREGISTERED
1,229.56,321.0,Unknown,,,UNREGISTERED
1,230.68,270.0,Unknown,,,UNREGISTERED
1,231.81,363.0,Unknown,,,UNREGISTERED
1,232.57,358.0,Unknown,,,UNREGISTERED
1,233.32,305.0,Unknown,,,UNREGISTERED
1,234.45,358.0,Unknown,,,UNREGISTERED
1,235.57,367.0,Unknown,,,UNREGISTERED
1,236.32,336.0,Unknown,,,UNREGISTERED
1,237.08,384.0,Unknown,,,UNREGISTERED
1,238.2,274.0,Unknown,,,UNREGISTERED
1,238.95,367.0,Unknown,,,UNREGISTERED
1,240.08,339.0,Unknown,,,UNREGISTERED
1,240.83,409.0,Unknown,,,UNREGISTERED
1,241.96,369.0,Unknown,,,UNREGISTERED
1,242.71,398.0,Unknown,,,UNREGISTERED
1,244.96,385.0,Unknown,,,UNREGISTERED
1,245.71,377.0,Unknown,,,UNREGISTERED
1,246.46,352.0,Unknown,,,UNREGISTERED
1,247.58,388.0,Unknown,,,UNREGISTERED
1,248.71,346.0,Unknown,,,UNREGISTERED
1,249.83,336.0,Unknown,,,UNREGISTERED
1,251.71,340.0,Unknown,,,UNREGISTERED
1,253.95,367.0,Unknown,,,UNREGISTERED
1,254.7,309.0,Unknown,,,UNREGISTERED
1,255.45,359.0,Unknown,,,UNREGISTERED
1,256.2,355.0,Unknown,,,UNREGISTERED
1,256.95,311.0,Unknown,,,UNREGISTERED
1,257.69,332.0,Unknown,,,UNREGISTERED
1,258.44,336.0,Unknown,,,UNREGISTERED
1,259.94,353.0,Unknown,,,UNREGISTERED
1,261.06,341.0,Unknown,,,UNREGISTERED
1,262.55,360.0,Unknown,,,UNREGISTERED
1,263.3,387.0,Unknown,,,UNREGISTERED
1,264.05,308.0,Unknown,,,UNREGISTERED
