Measurement_ID,Time,Operation_Mode,Measurement_Type,Delay_Time_us,Integration_Time_us,Number_of_Pulses,X_Factor,Laser_Energy_V,Laser_Pump_Current_A,PRR_Hz,On_Off_Status
1,2023-08-31 02:32:30,ASLF,Plasma,0.375,1000,1,1,3166,95,5,1
2,2023-08-31 02:32:33,ASLF,Plasma,0.375,3000,1,1,3199,95,5,1
3,2023-08-31 02:32:35,ASLF,Plasma,0.375,3000,1,1,3346,95,5,1
4,2023-08-31 02:32:37,ASLF,Plasma,0.375,6000,1,1,3243,95,5,1
5,2023-08-31 02:32:40,ASLF,Plasma,0.375,5000,1,1,3175,95,5,1
6,2023-08-31 02:32:43,ASLF,Plasma,0.375,2000,20,1,3177,95,5,1
7,2023-08-31 02:32:44,ASLF,Plasma,0.375,2000,20,1,3175,95,5,1
8,2023-08-31 02:32:44,ASLF,Plasma,0.375,2000,20,1,3173,95,5,1
9,2023-08-31 02:32:45,ASLF,Plasma,0.375,2000,20,1,3290,95,5,1
10,2023-08-31 02:32:46,ASLF,Plasma,0.375,2000,20,1,3222,95,5,1
